iter	Passed	Remaining
1337	15037	97351
1338	15047	97331
1339	15058	97318
1340	15070	97311
1341	15082	97307
1342	15093	97290
1343	15104	97281
1344	15115	97265
1345	15128	97269
1346	15141	97266
1347	15152	97256
1348	15163	97239
1349	15174	97228
1350	15185	97219
1351	15196	97204
1352	15207	97190
1353	15219	97183
1354	15229	97166
1355	15243	97171
1356	15255	97163
1357	15266	97154
1358	15277	97138
1359	15288	97127
1360	15299	97116
1361	15310	97098
1362	15321	97090
1363	15333	97080
1364	15345	97076
1365	15356	97060
1366	15368	97053
1367	15378	97040
1368	15389	97023
1369	15400	97013
1370	15411	96997
1371	15421	96981
1372	15434	96979
1373	15446	96974
1374	15457	96962
1375	15470	96961
1376	15482	96953
1377	15493	96944
1378	15504	96927
1379	15515	96918
1380	15528	96914
1381	15538	96894
1382	15552	96899
1383	15563	96889
1384	15573	96873
1385	15583	96854
1386	15595	96843
1387	15605	96826
1388	15615	96808
1389	15627	96798
1390	15637	96779
1391	15651	96786
1392	15663	96778
1393	15674	96769
1394	15684	96751
1395	15696	96741
1396	15707	96732
1397	15718	96715
1398	15730	96711
1399	15743	96711
1400	15755	96706
1401	15766	96690
1402	15777	96680
1403	15789	96671
1404	15800	96656
1405	15811	96646
1406	15823	96640
1407	15834	96625
1408	15846	96617
1409	15860	96625
1410	15873	96622
1411	15883	96607
1412	15894	96595
1413	15906	96584
1414	15916	96568
1415	15928	96559
1416	15940	96555
1417	15951	96541
1418	15964	96541
1419	15976	96531
1420	15987	96522
1421	15997	96503
1422	16011	96507
1423	16022	96497
1424	16034	96485
1425	16044	96469
1426	16057	96469
1427	16069	96460
1428	16079	96445
1429	16091	96434
1430	16102	96425
1431	16113	96411
1432	16124	96401
1433	16136	96390
1434	16146	96375
1435	16157	96361
1436	16169	96350
1437	16180	96340
1438	16190	96323
1439	16202	96314
1440	16212	96296
1441	16223	96280
1442	16234	96269
1443	16244	96249
1444	16257	96253
1445	16269	96245
1446	16280	96229
1447	16290	96211
1448	16301	96201
1449	16311	96182
1450	16322	96168
1451	16334	96161
1452	16344	96146
1453	16355	96131
1454	16367	96126
1455	16380	96121
1456	16390	96106
1457	16402	96097
1458	16413	96085
1459	16423	96068
1460	16435	96059
1461	16447	96049
1462	16457	96034
1463	16469	96025
1464	16480	96013
1465	16492	96004
1466	16502	95991
1467	16514	95982
1468	16524	95965
1469	16535	95952
1470	16547	95943
1471	16557	95927
1472	16568	95912
1473	16580	95905
1474	16591	95895
1475	16602	95880
1476	16614	95873
1477	16624	95857
1478	16635	95841
1479	16648	95843
1480	16660	95833
1481	16670	95816
1482	16683	95816
1483	16695	95809
1484	16706	95793
1485	16716	95778
1486	16728	95769
1487	16739	95758
1488	16750	95743
1489	16761	95734
1490	16772	95719
1491	16783	95706
1492	16796	95706
1493	16808	95696
1494	16818	95680
1495	16830	95671
1496	16841	95660
1497	16853	95653
1498	16863	95637
1499	16875	95625
1500	16885	95608
1501	16898	95606
1502	16910	95598
1503	16920	95581
1504	16930	95563
1505	16941	95551
1506	16951	95533
1507	16962	95518
1508	16972	95505
1509	16982	95486
1510	16995	95483
1511	17009	95488
1512	17020	95474
1513	17031	95459
1514	17044	95459
1515	17055	95450
1516	17066	95434
1517	17077	95424
1518	17089	95414
1519	17099	95399
1520	17114	95404
1521	17125	95395
1522	17137	95385
1523	17147	95369
1524	17159	95360
1525	17170	95348
1526	17180	95330
1527	17192	95322
1528	17204	95316
1529	17216	95311
1530	17227	95296
1531	17239	95288
1532	17250	95275
1533	17260	95257
1534	17271	95247
1535	17282	95232
1536	17292	95217
1537	17305	95213
1538	17317	95204
1539	17327	95186
1540	17338	95176
1541	17351	95172
1542	17361	95156
1543	17372	95146
1544	17384	95135
1545	17394	95119
1546	17407	95116
1547	17419	95111
1548	17434	95120
1549	17445	95104
1550	17456	95092
1551	17467	95083
1552	17478	95066
1553	17489	95054
1554	17500	95044
1555	17510	95025
1556	17523	95022
1557	17534	95013
1558	17545	94997
1559	17555	94979
1560	17566	94967
1561	17576	94949
1562	17587	94935
1563	17598	94924
1564	17608	94906
1565	17621	94905
1566	17633	94894
1567	17643	94877
1568	17653	94863
1569	17665	94854
1570	17676	94838
1571	17686	94825
1572	17698	94816
1573	17709	94801
1574	17720	94788
1575	17731	94780
1576	17743	94771
1577	17754	94756
1578	17765	94744
1579	17775	94729
1580	17786	94714
1581	17798	94708
1582	17809	94692
1583	17822	94694
1584	17836	94697
1585	17848	94687
1586	17859	94675
1587	17869	94658
1588	17880	94648
1589	17891	94635
1590	17902	94622
1591	17914	94613
1592	17926	94608
1593	17938	94600
1594	17949	94587
1595	17962	94584
1596	17973	94570
1597	17983	94555
1598	17996	94550
1599	18009	94550
1600	18020	94536
1601	18032	94527
1602	18043	94518
1603	18055	94509
1604	18065	94493
1605	18077	94484
1606	18087	94469
1607	18098	94455
1608	18111	94452
1609	18122	94438
1610	18133	94424
1611	18147	94427
1612	18158	94417
1613	18168	94402
1614	18179	94389
1615	18193	94389
1616	18204	94375
1617	18216	94370
1618	18227	94357
1619	18237	94341
1620	18248	94325
1621	18260	94319
1622	18271	94305
1623	18282	94292
1624	18293	94283
1625	18305	94273
1626	18315	94258
1627	18327	94247
1628	18339	94239
1629	18349	94225
1630	18364	94229
1631	18375	94219
1632	18387	94210
1633	18397	94194
1634	18408	94183
1635	18420	94174
1636	18430	94158
1637	18442	94148
1638	18454	94139
1639	18465	94130
1640	18476	94116
1641	18488	94107
1642	18498	94090
1643	18509	94076
1644	18520	94068
1645	18531	94053
1646	18542	94039
1647	18553	94030
1648	18564	94015
1649	18578	94018
1650	18592	94020
1651	18603	94009
1652	18614	93995
1653	18625	93981
1654	18636	93972
1655	18647	93955
1656	18657	93941
1657	18669	93935
1658	18681	93926
1659	18692	93910
1660	18703	93900
1661	18714	93887
1662	18725	93875
1663	18737	93865
1664	18748	93854
1665	18758	93839
1666	18770	93829
1667	18781	93817
1668	18794	93813
1669	18805	93799
1670	18816	93790
1671	18828	93779
1672	18838	93765
1673	18850	93755
